id,type,name,category,sponsored,availability,rent,price,modified,created,address,latitude,longitude,size,full_name,keywords,reduced
63968,PROPERTY,Unit 5,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:31:09,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,5000,"Unit 5, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 5, fountain retail park,"
63969,PROPERTY,Unit 6,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:31:52,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,20000,"Unit 6, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 6, fountain retail park,"
63970,PROPERTY,Unit 7,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:32:27,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,10000,"Unit 7, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 7, fountain retail park,"
63971,PROPERTY,Unit 8,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:32:59,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,3400,"Unit 8, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 8, fountain retail park,"
63972,PROPERTY,Unit 9,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:33:53,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,3400,"Unit 9, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 9, fountain retail park,"
63973,PROPERTY,Unit 10,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:34:26,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,5000,"Unit 10, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 10, fountain retail park,"
64502,PROPERTY,Unit 70,SC,false,To Let,33500,,2019-04-17T16:22:42,2015-06-23T14:28:57,"Kings Square, West Bromwich | B70 7NN",52.5175018,-1.9933,,"Unit 70, Kings Square Sandwell Centre","kings square, west bromwich | b70 7nn,unit 70, kings square sandwell centre,"
64940,PROPERTY,15 Mill Lane,SC,false,Under Offer,125000,,2017-09-04T13:18:22,2015-07-27T15:58:47,"Drury Lane, Solihull | B91 3BG",52.413723,-1.7764558,,"15 Mill Lane, Mell Square","drury lane, solihull | b91 3bg,15 mill lane, mell square,"
65147,PROPERTY,Suite A Eldon House,SC,false,To Let,,,2017-08-17T12:04:01,2015-08-07T13:04:00,"High Street, Erdington, Erdington | B23 6RY",52.5238991,-1.8385,496,"Suite A Eldon House, Central Square Shopping Centre","high street, erdington, erdington | b23 6ry,suite a eldon house, central square shopping centre,"
65663,PROPERTY,Unit 3,RW,false,To Let,100000,,2020-02-03T11:53:23,2015-09-10T13:00:35,"Watson Road, Birmingham | B7 5SA",52.5055008,-1.8565,4019,"Unit 3, Star City","watson road, birmingham | b7 5sa,unit 3, star city,"
65664,PROPERTY,Unit 9,RW,false,To Let,,,2020-02-03T11:53:00,2015-09-10T13:00:35,"Watson Road, Birmingham | B7 5SA",52.5055008,-1.8565,7820,"Unit 9, Star City","watson road, birmingham | b7 5sa,unit 9, star city,"
66569,PROPERTY,Unit 10,RW,false,To Let,,,2021-02-09T13:15:31,2015-11-13T09:44:06,West Bromwich | B70 1PP,52.5195198,-1.9922121,9982,"Unit 10, New Square","west bromwich | b70 1pp,unit 10, new square,"
